-9.682653568259293186e-04	-1.691200514924155740e-03	-2.903861566495868907e-02	-7.128393482355832589e-02	2.745467600736872793e-01	-9.505174360602275385e-02
-2.350119964748473289e-04	-2.855192001751313824e-03	-2.606642656584445827e-02	-5.149555732169663891e-02	2.365293624514435145e-01	-7.668167743782028367e-02
-3.195808013931197844e-03	-1.879259102876978949e-04	-2.159381516206304585e-02	-5.719099599212795759e-02	2.224043161995421236e-01	-2.222963830307023159e-02
-1.793552838424101320e-03	5.693921539600884166e-03	-1.999630521915707337e-02	-5.715610745272803328e-02	1.940088358078138064e-01	3.288272656321922227e-03
-3.233921438768053852e-03	4.097232428934702991e-03	-1.770646614690540854e-02	-5.004876428015669898e-02	1.924390363793180292e-01	2.698543254152596660e-02
-2.588873052100756217e-03	7.914018013319305822e-03	-1.700455931193312065e-02	-6.348796221307084764e-02	1.566997424385661586e-01	4.621044786402173088e-02
-1.907742441985760956e-03	5.915785762609962820e-03	-1.388065502943880425e-02	-6.399541528143082303e-02	1.511943909722711643e-01	5.772325497158981022e-02
-3.393852551238727561e-03	7.662105961189085573e-03	-1.223187014869764333e-02	-6.401871347331600237e-02	1.236056022598206461e-01	5.204425702208581583e-02
-2.651169937230021117e-03	8.906713220549958634e-03	-1.228258692018124876e-02	-5.709887863494900184e-02	1.126786840809042567e-01	7.071540001433085365e-02
-3.422598560609262791e-03	1.023159543086063321e-02	-1.004452477154516021e-02	-6.362422530932565490e-02	1.106885536619876542e-01	8.877398421717686006e-02
-2.627942655306591407e-03	9.776555802814217155e-03	-1.101979111801731914e-02	-4.338939894366355965e-02	9.195697124249330168e-02	9.536890364323724611e-02
-3.456007026468119886e-03	1.030859093185136632e-02	-8.363671772622538469e-03	-6.366382884717236568e-02	8.302874147978028807e-02	1.071894363846457310e-01
-2.698799832256671555e-03	9.874464581760810863e-03	-8.799902903495304685e-03	-5.664440575385387699e-02	7.924711551718405245e-02	1.316072013901319337e-01
